Sample_Name	HABITAT	Region	AllBM_Family	AllBM_Order	AllBM_Genus	Type
12	Pasture	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
29	Pasture	Capira	Bovidae	Artiodactyla	Bos	Mammal
39	Pasture	Capira	Bovidae	Artiodactyla	Bos	Mammal
57	Pasture	Capira	Bovidae	Artiodactyla	Bos	Mammal
103	Peridomestic	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
131	Peridomestic	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
139	Peridomestic	Capira	Bovidae	Artiodactyla	Bos	Mammal
171	Pasture	La Chorrera	Bovidae	Artiodactyla	Bos	Mammal
359	Pasture	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
368	Pasture	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
400	Peridomestic	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
406	Peridomestic	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
413	Forest	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
419	Forest	Veraguas	Bovidae	Artiodactyla	Bos	Mammal
15	Pasture	La Chorrera	Canidae	Carnivora	Canis	Mammal
142	Peridomestic	Capira	Erethizontidae	Rodentia	Coendou	Mammal
218	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
221	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
222	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
223	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
224	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
235	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
236	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
237	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
238	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
239	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
240	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
241	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
242	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
243	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
244	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
255	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
256	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
257	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
258	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
260	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
261	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
262	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
263	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
264	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
264.5	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
265	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
266	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
268	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
293	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
294	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
295	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
296	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
297	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
298	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
299	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
300	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
301	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
302	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
303	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
304	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
341	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
344	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
348	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
381	Pasture	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
382	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
383	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
384	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
385	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
389	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
391	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
393	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
395	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
396	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
397	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
398	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
399	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
400	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
401	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
402	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
403	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
405	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
406	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
407	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
408	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
409	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
410	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
411	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
412	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
413	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
414	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
415	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
416	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
417	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
418	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
420	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
421	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
422	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
423	Forest	Veraguas	Didelphidae	Didelphimorphia	Didelphis	Mammal
4	Pasture	La Chorrera	Heteromyidae	Rodentia	Heteromys	Mammal
10	Pasture	La Chorrera	Heteromyidae	Rodentia	Heteromys	Mammal
138	Peridomestic	Capira	Heteromyidae	Rodentia	Heteromys	Mammal
218	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
219	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
220	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
221	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
222	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
223	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
224	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
225	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
226	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
227	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
228	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
235	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
237	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
238	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
242	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
243	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
244	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
256	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
258	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
259	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
260	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
261	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
262	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
263	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
264	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
264.5	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
265	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
266	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
267	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
268	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
294	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
295	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
298	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
300	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
301	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
302	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
303	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
304	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
341	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
342	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
343	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
344	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
345	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
346	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
347	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
348	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
353	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
356	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
359	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
360	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
361	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
362	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
368	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
370	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
371	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
372	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
373	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
375	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
376	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
377	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
378	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
379	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
381	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
381.5	Pasture	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
382	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
383	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
384	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
385	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
389	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
391	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
393	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
395	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
396	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
399	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
400	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
401	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
402	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
403	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
405	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
406	Peridomestic	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
407	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
408	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
409	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
410	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
411	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
412	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
414	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
415	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
416	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
418	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
419	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
420	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
421	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
422	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
423	Forest	Veraguas	Heteromyidae	Rodentia	Heteromys	Mammal
91	Peridomestic	La Chorrera	Felidae	Carnivora	Leopardus	Mammal
139	Peridomestic	Capira	Felidae	Carnivora	Leopardus	Mammal
227	Pasture	Veraguas	Felidae	Carnivora	Leopardus	Mammal
166	Pasture	La Chorrera	Gekkonidae	Squamata	Lepidodactylus	Herp
342	Pasture	Veraguas	Gekkonidae	Squamata	Lepidodactylus	Herp
373	Pasture	Veraguas	Gekkonidae	Squamata	Lepidodactylus	Herp
40	Pasture	Capira	Scincidae	Squamata	Mabuya	Herp
414	Forest	Veraguas	Didelphidae	Didelphimorphia	Marmosa	Mammal
14	Pasture	La Chorrera	Didelphidae	Didelphimorphia	Metachirus	Mammal
19	Pasture	Capira	Didelphidae	Didelphimorphia	Metachirus	Mammal
20	Pasture	Capira	Didelphidae	Didelphimorphia	Metachirus	Mammal
21	Pasture	Capira	Didelphidae	Didelphimorphia	Metachirus	Mammal
22	Pasture	Capira	Didelphidae	Didelphimorphia	Metachirus	Mammal
26	Pasture	Capira	Didelphidae	Didelphimorphia	Metachirus	Mammal
32	Pasture	Capira	Didelphidae	Didelphimorphia	Metachirus	Mammal
220	Pasture	Veraguas	Didelphidae	Didelphimorphia	Metachirus	Mammal
223	Pasture	Veraguas	Didelphidae	Didelphimorphia	Metachirus	Mammal
226	Pasture	Veraguas	Didelphidae	Didelphimorphia	Metachirus	Mammal
389	Peridomestic	Veraguas	Didelphidae	Didelphimorphia	Metachirus	Mammal
411	Forest	Veraguas	Didelphidae	Didelphimorphia	Metachirus	Mammal
412	Forest	Veraguas	Didelphidae	Didelphimorphia	Metachirus	Mammal
423	Forest	Veraguas	Didelphidae	Didelphimorphia	Metachirus	Mammal
182	Pasture	La Chorrera	Cervidae	Artiodactyla	Odocoileus	Mammal
3	Pasture	La Chorrera	Other	Other	Other	Other
6	Pasture	La Chorrera	Other	Other	Other	Other
8	Pasture	La Chorrera	Other	Other	Other	Other
10	Pasture	La Chorrera	Other	Other	Other	Other
22	Pasture	Capira	Other	Other	Other	Other
24	Pasture	Capira	Other	Other	Other	Other
36	Pasture	Capira	Other	Other	Other	Other
48	Pasture	Capira	Other	Other	Other	Other
49	Pasture	Capira	Other	Other	Other	Other
50	Pasture	Capira	Other	Other	Other	Other
52	Pasture	Capira	Other	Other	Other	Other
