Observed,Chao1,se.chao1,Shannon,Simpson,InvSimpson,Sample,Region,Age_Group,PalmID,ESPECIE,PROCEDENCIA,HABITAT,TypeBM,HumanBM,MammalBM,BirdBM,ReptileBM,NumberBM,FirstBM,SecondBM,ThirdBM,FourthBM,FifthBM,SingleInf_Tcruzi
27,27,-0,1.2556342741730764,0.4506383111792608,1.8202943895607315,171,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mammal,Yes,Yes,No,No,Four,Philander,Other,Human,Bos,NA,Negative
42,42,-0,1.6325473622699747,0.5179111999854048,2.074306642198958,377,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,Yes,Yes,Yes,No,Three,Heteromys,Thraupis,Human,NA,NA,Negative
35,35,-0,1.6444331659529048,0.5423405162446526,2.1850306515981073,75,La Chorrera,N4_Adult,LP2_Capira0217,R. pallescens,Las Pavas,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
34,34,-0,1.3893167434684321,0.4497049013511223,1.8172068085928235,172,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,Two,Other,Philander,NA,NA,NA,Negative
31,31,-0,1.3661828002113117,0.4447872002702473,1.8011112144510095,378,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Positive
29,29,-0,1.4148485870169858,0.46568014709692906,1.8715381705672958,76,La Chorrera,N1_N3,LP2_Capira0217,R. pallescens,Las Pavas,Peridomestic,Bird,No,No,Yes,No,One,Piranga,NA,NA,NA,NA,Negative
33,33,-0,1.2181413675399406,0.39098245918567165,1.6419888311638478,173,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,Two,Philander,Other,NA,NA,NA,Negative
27,27,0.24532669073132907,1.078224845362447,0.36291803985269244,1.5696567514936033,379,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Negative
35,35,-0,1.64317999314573,0.549729173859616,2.2208856136022965,66,Capira,N4_Adult,CA9P17,R. pallescens,Capira,Pasture,Mammal,No,Yes,No,No,Two,Mus,Philander,NA,NA,NA,Negative
31,31,-0,1.5150654857958674,0.5147770196053996,2.0609081605878696,163,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
40,40,-0,1.4788752682782995,0.48065388669162423,1.9254981877687087,362,Veraguas,N4_Adult,SF8,R. pallescens,Veraguas,Pasture,Mammal,No,Yes,No,No,Two,Heteromys,Other,NA,NA,NA,Positive
23,23,-0,1.282703727686567,0.4458625633532318,1.8046064637885935,67,Capira,N4_Adult,CA11P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,One,Human,NA,NA,NA,NA,Negative
33,33,-0,1.5351104643467361,0.4986501866757368,1.9946152834273017,164,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
30,30,0.4915960401250875,1.7274063714685712,0.6017122754188761,2.510747729048622,368,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,Yes,Yes,Yes,No,Four,Heteromys,Human,Bos,Thraupis,NA,Positive
31,31,-0,1.2774196995995626,0.41516702067507283,1.7098898922463301,68,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
31,31,-0,1.4604920942838695,0.49099327159305084,1.9646105722997504,165,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
39,39,-0,1.8478811068783383,0.6064612297718275,2.541045700326306,370,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Three,Heteromys,Human,Thraupis,NA,NA,Negative
35,35,-0,1.6300799790850087,0.5294771805908676,2.125295434673643,69,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
31,31,0.16395645894598823,1.1731118074783593,0.3977463392674945,1.6604299238027478,166,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Reptile,No,No,No,Yes,Three,Other,Lepidodactylus,Philander,NA,NA,Positive
27,27,-0,1.3925417703200942,0.4748012309371358,1.9040410200967244,371,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,No,Yes,Yes,No,Three,Heteromys,Other,Piranga,NA,NA,Negative
32,32,-0,1.4133406680395277,0.49734244334223365,1.9894259755073145,70,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
20,20,-0,1.113817080044798,0.41996035283518096,1.7240200818821763,167,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
31,31,-0,1.3766500773098667,0.4715912031959115,1.8924741716038416,372,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,No,Yes,Yes,No,Two,Heteromys,Piranga,NA,NA,NA,Negative
27,27,-0,1.4451009084642772,0.5027585489360212,2.0110954102081338,71,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Four,Mus,Human,Other,Philander,NA,Negative
26,26,-0,1.2642219889963529,0.44510269029236393,1.8021352464780904,168,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,Two,Other,Philander,NA,NA,NA,Negative
33,33,-0,1.3533947325344708,0.44605706491413,1.8052401008507926,373,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mix,Yes,Yes,No,Yes,Three,Heteromys,Human,Lepidodactylus,NA,NA,Negative
33,33,-0,1.3469422963085875,0.4377259835580841,1.7784922844701685,72,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Other,Yes,No,No,No,Three,Other,Human,Philander,NA,NA,Negative
30,30,0.24579802006254375,1.0547520954674863,0.35090665776335683,1.5406104714526945,169,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
24,24,-0,0.887765661566034,0.2978062185294442,1.424108310822362,375,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Positive
31,31,-0,1.3386259642021006,0.44425849999086253,1.799397741546309,73,Capira,N1_N3,CA11P17,R. pallescens,Capira,Pasture,Mammal,Yes,Yes,No,No,Two,Human,Other,NA,NA,NA,Negative
35,35,-0,1.4485920252018076,0.5013292046444686,2.0053309905326255,170,La Chorrera,N1_N3,CHOR1P3,R. pallescens,La Chorrera,Pasture,Mammal,Yes,Yes,No,No,Two,Philander,Human,NA,NA,NA,Negative
44,44,-0,1.5036605439569222,0.468418133711093,1.881177789192144,376,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Negative
43,43,-0,1.7972409018699953,0.5779263205653516,2.36925458450634,77,La Chorrera,N1_N3,LP3_Capira0317,R. pallescens,Las Pavas,Peridomestic,Mammal,Yes,Yes,No,No,Three,Human,Philander,Mus,NA,NA,Negative
14,14,-0,0.9025598356631466,0.3478784568747989,1.5334564707180813,174,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Four,Mus,Thraupis,Other,Philander,NA,Negative
50,50,-0,2.1752332409457686,0.7196020205475144,3.566359507841795,381,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Three,Didelphis,Heteromys,Human,NA,NA,Negative
49,49,-0,1.8050962790596157,0.6307521249860771,2.708207867038623,86,La Chorrera,N1_N3,HN2,R. pallescens,La Chorrera,Peridomestic,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
43,43,-0,1.6831071241860243,0.5361395675250399,2.1558208676356148,184,La Chorrera,N4_Adult,CHOR1P5,R. pallescens,La Chorrera,Pasture,Bird,No,No,Yes,No,One,Thraupis,NA,NA,NA,NA,Negative
44,44,0.08238092110201342,1.855118058299676,0.6300290640415962,2.702915020634029,395,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mix,No,Yes,Yes,No,Three,Heteromys,Didelphis,Thraupis,NA,NA,Negative
31,31,-0,1.3077540638932161,0.44844257953414013,1.8130478584720586,87,La Chorrera,N1_N3,HN2,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,Two,Mus,Philander,NA,NA,NA,Negative
35,35,-0,1.2925334724860522,0.4345253202282754,1.7684257770899452,185,La Chorrera,N1_N3,CHOR1P5,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Four,Other,Mus,Philander,Thraupis,NA,Negative
45,45,-0,1.809440867582983,0.5786675378212848,2.373422628840389,396,Veraguas,N4_Adult,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,Yes,Yes,No,No,Three,Heteromys,Human,Didelphis,NA,NA,Negative
38,38,-0,1.5999621097962777,0.536913452723444,2.1594235589029074,88,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Negative
26,26,-0,1.3480530384152623,0.46373774639785426,1.8647592540456939,186,Capira,N1_N3,CAM1P17,R. pallescens,Campana,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Positive
48,48,-0,2.0808817636112105,0.7244315443008802,3.6288623727378027,397,Veraguas,N4_Adult,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,One,Didelphis,NA,NA,NA,NA,Positive
34,34,-0,1.6329143024002706,0.5504710792979515,2.2245509775839496,78,La Chorrera,N4_Adult,LP3_Capira0317,R. pallescens,Las Pavas,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
49,49,-0,1.8783603041828612,0.5664272079923476,2.3064177882784453,175,La Chorrera,N4_Adult,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Four,Mus,Thraupis,Other,Philander,NA,Positive
44,44,-0,1.9082931813650026,0.6212746558457816,2.640435913348318,381.5,Veraguas,N1_N3,SF8,R. pallescens,Veraguas,Pasture,Mammal,Yes,Yes,No,No,Two,Heteromys,Human,NA,NA,NA,Negative
31,31,-0,1.4928502585752323,0.5406595116518094,2.1770343032377695,79,La Chorrera,N1_N3,HN1,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Three,Philander,Human,Mus,NA,NA,Negative
41,41,-0,1.7124218245892402,0.5439185238397541,2.1925906932660566,176,La Chorrera,N4_Adult,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Positive
29,29,-0,1.9914172289749708,0.7858066943782275,4.668679990241259,382,Veraguas,N4_Adult,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Negative
28,28,0.24549512651549144,1.1928392184235777,0.4177005146403092,1.717329355670463,177,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Negative
47,47,-0,1.9752407390358797,0.7363712503756148,3.7932129990556307,383,Veraguas,N4_Adult,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
39,39,-0,1.572501792893227,0.5167592398630747,2.0693618636736106,81,La Chorrera,N4_Adult,HN7,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Three,Mus,Philander,Human,NA,NA,Positive
34,34,-0,1.4643712816724213,0.49660216077724506,1.9865003821708842,178,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
43,43,-0,1.9744617427174591,0.7724650564813652,4.3949293437563854,384,Veraguas,N4_Adult,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
34,34,-0,1.5677172918077171,0.544539507952319,2.1955801160802166,82,La Chorrera,N1_N3,HN10,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,Two,Mus,Philander,NA,NA,NA,Negative
25,25,-0,1.1626491454125791,0.41018900496323585,1.6954583899163629,179,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mammal,Yes,Yes,No,No,Three,Human,Mus,Philander,NA,NA,Negative
54,54,-0,1.6034675757871675,0.6223585284017177,2.648014254810855,385,Veraguas,N4_Adult,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Positive
48,48,-0,1.758354974073614,0.5509435567471661,2.2268915523320225,83,La Chorrera,N4_Adult,HN11,R. pallescens,La Chorrera,Peridomestic,Mammal,No,Yes,No,No,One,Mus,NA,NA,NA,NA,Positive
30,30,-0,1.0532159008000805,0.3505621220806343,1.5397931565121308,180,La Chorrera,N1_N3,CHOR1P1,R. pallescens,La Chorrera,Pasture,Mammal,No,Yes,No,No,Two,Other,Mus,NA,NA,NA,Negative
45,45,-0,1.8326866348586166,0.5996346221027329,2.497718472191664,389,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Three,Heteromys,Didelphis,Metachirus,NA,NA,Positive
39,39,-0,1.3989813920696994,0.46470665528626987,1.868134565608677,84,La Chorrera,N1_N3,HN11,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Four,Piranga,Other,Mus,Philander,NA,Negative
36,36.333333333333336,0.9233569526830805,1.4548785535265725,0.4920900330240353,1.968852877516621,181,La Chorrera,N1_N3,CHOR1P2,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Three,Other,Mus,Thraupis,NA,NA,Negative
41,41,-0,1.4063550514465242,0.44907101054694665,1.815115957126837,391,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,Yes,Yes,No,No,Three,Didelphis,Heteromys,Human,NA,NA,Negative
34,34,-0,1.5653231559075311,0.5400691293983708,2.1742397910623263,85,La Chorrera,N1_N3,HN2,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Mus,NA,NA,NA,Negative
37,37,-0,1.5074769043803409,0.5019620815306698,2.007879245567085,182,La Chorrera,N1_N3,CHOR1P2,R. pallescens,La Chorrera,Pasture,Mix,No,Yes,Yes,No,Three,Mus,Thraupis,Odocoileus,NA,NA,Negative
41,41,-0,1.5344626763805984,0.4906166930455178,1.9631581686075132,393,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mix,No,Yes,Yes,No,Three,Heteromys,Didelphis,Thraupis,NA,NA,Negative
53,53,0.12381513913591215,1.8371059897269215,0.5631837942003682,2.289292353907541,89,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Mix,Yes,Yes,Yes,No,Two,Piranga,Human,NA,NA,NA,Negative
67,67,-0,2.564096418962297,0.7977705712296908,4.944878725518197,398,Veraguas,N4_Adult,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Didelphis,Philander,NA,NA,NA,Positive
39,39,0.09870962335856491,1.588660070932582,0.5573850027816427,2.2592998571773775,99,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
65,65,-0,2.8530187647673446,0.85162258931049994,6.739570365550024,200,Veraguas,N4_Adult,SF1,R. pallescens,Veraguas,Peridomestic,Mix,Yes,Yes,Yes,No,Two,Thraupis,Philander,NA,NA,NA,Positive
32,32,-0,1.3767076823023732,0.47346404516164,1.899205535369351,100,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Mix,Yes,Yes,Yes,No,Three,Human,Mus,Piranga,NA,NA,Negative
48,48,-0,2.0365297793276094,0.6129719411063161,2.583791993940932,201,Veraguas,N4_Adult,SF1,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Two,Philander,Procyon,NA,NA,NA,Positive
30,30,-0,1.3278066299564513,0.4556607336214843,1.8370895905654412,101,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Bird,No,No,Yes,No,One,Piranga,NA,NA,NA,NA,Negative
40,40,-0,1.5789042835323805,0.521312451111636,2.089045353952193,90,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Bird,No,No,Yes,No,One,Piranga,NA,NA,NA,NA,Negative
45,45,-0,2.405263080237914,0.8526738421635695,6.78766089257723,188,Capira,N4_Adult,CAM2P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
48,48,-0,1.6330640466479542,0.5057529501776034,2.0232796540906843,399,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Mus,Didelphis,NA,Negative
34,34,-0,1.5268130843215844,0.5129908806967574,2.0533496404147145,91,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Mix,No,Yes,Yes,No,Two,Leopardus,Piranga,NA,NA,NA,Negative
34,34,-0,1.5150824163756296,0.4937693732657935,1.9753842363335403,189,Capira,N1_N3,CAM2P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Positive
46,46,-0,2.0583679121012177,0.6236054400000002,2.6567865380413584,400,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,Yes,Yes,No,No,Four,Heteromys,Human,Didelphis,Bos,NA,Negative
46,46,-0,1.7143274159095656,0.5380039439551358,2.1645206423642946,92,La Chorrera,N4_Adult,HN5,R. pallescens,La Chorrera,Peridomestic,Bird,No,No,Yes,Yes,One,Piranga,NA,NA,NA,NA,Negative
26,26,-0,1.2966568591783358,0.4500977395205239,1.818504981463561,190,Capira,N1_N3,CAM2P17,R. pallescens,Campana,Peridomestic,Mammal,Yes,Yes,No,No,Two,Human,Philander,NA,NA,NA,Negative
192,192.75,1.4232716581998741,3.8940233825959445,0.8935098817885968,9.390542679413779,401,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Three,Heteromys,Didelphis,Other,NA,NA,Negative
37,37,-0,1.6760664150075404,0.5513110963973521,2.228715691363709,93,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Mix,Yes,Yes,Yes,No,Three,Human,Mus,Piranga,NA,NA,Negative
35,35,-0,1.80111796055555,0.5876504541657952,2.4251269586751873,191,Capira,N4_Adult,CAM2P17,R. pallescens,Campana,Peridomestic,Mammal,No,Yes,No,No,One,Philander,NA,NA,NA,NA,Negative
50,50,-0,1.7173235365446808,0.5339335330566255,2.1456167111921753,402,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,Yes,Yes,No,No,Three,Human,Heteromys,Didelphis,NA,NA,Negative
40,40,-0,1.579699115204348,0.5166666916869955,2.0689656243438628,94,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Mammal,Yes,Yes,No,No,One,Human,NA,NA,NA,NA,Negative
52,52,-0,1.792882484977843,0.5660212157993222,2.3042601076498386,403,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,Yes,Yes,No,No,Four,Heteromys,Other,Human,Didelphis,NA,Negative
42,42,-0,1.4171964706131235,0.4517619476225875,1.8240251578005937,95,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Mix,Yes,Yes,Yes,No,Three,Mus,Human,Piranga,NA,NA,Negative
42,42,-0,1.6118179597362394,0.5108724750755371,2.044456607005366,405,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Three,Heteromys,Mus,Didelphis,NA,NA,Negative
41,41,-0,1.5632950741440665,0.5137017404338395,2.0563511802245116,96,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Bird,No,No,Yes,No,Two,Piranga,Other,NA,NA,NA,Negative
55,55,0.1651445647689541,1.4546518336907028,0.4363819903879025,1.7742513243823357,406,Veraguas,N1_N3,SF11,R. pallescens,Veraguas,Peridomestic,Mammal,No,Yes,No,No,Three,Heteromys,Bos,Didelphis,NA,NA,Negative
47,47,-0,1.616179453674831,0.5217768482858258,2.0910740026189343,98,La Chorrera,N1_N3,HN5,R. pallescens,La Chorrera,Peridomestic,Other,No,No,No,No,One,Other,NA,NA,NA,NA,Negative
49,49,-0,1.7967265254618283,0.5741716097539865,2.348363854796696,407,Veraguas,N4_Adult,SF14,R. pallescens,Veraguas,Forest,Mammal,No,Yes,No,No,Two,Didelphis,Heteromys,NA,NA,NA,Negative
